library_card_no,first_name,last_name,address,borough,postal,telephone,date_of_birth,email,type_of_library_user,no_of_books_borrowed,Age,family_id,disability
412253428,Ciara,Cobbley,2 Prince Rupert St,West Wickham,BR3 6SX,01235-647932,1996-09-11,ciara_cobbley@hotmail.com,HE-student,5,24,33,N/A
859296344,Alethea,Quarto,5344 Bengel St #5,Millwall,E14 5DR,01662-114247,2008-04-20,alethea@hotmail.com,junior,5,12,28,N/A
621218237,Margurite,Loperfido,6452 Pilgrim St #5,Seven Sisters,N15 6TH,01407-866759,2013-03-20,mloperfido@gmail.com,junior,2,8,34,Autism Spectrum Disorder
846230934,Vernice,Sperazza,70 Lilly Rd,Shirley,CR0 7PT,01822-563044,1973-10-08,vernice@yahoo.com,standard,1,47,35,N/A
113446674,Vicente,Rawicki,5344 Bengel St #5,Millwall,E14 5DR,01327-770774,1940-04-10,vicente_rawicki@hotmail.com,standard,4,80,36,Hearing Impairment
562174892,Craig,Cua,8388 Bessemer St #5,East Putney,SW15 2RP,01483-418969,1990-01-05,craig@hotmail.com,HE-student,10,31,37,N/A
758413703,Jenise,Dulle,5382 Redfern St,West End,W1J 0QH,01709-854691,1998-11-05,jenise.dulle@hotmail.com,staff,2,22,38,Other Physical Condition
621063063,Marylin,Cornelison,45 Bidder St #38,Town,EN1 3HT,01609-882184,1943-12-19,marylin_cornelison@yahoo.com,standard,1,77,39,N/A
391022834,Marget,Gunst,227 Albert Terrace,Belvedere,DA17 6EF,01693-310794,2007-01-02,mgunst@yahoo.com,volunteer,1,14,40,N/A
298663973,Annett,Bunselmeyer,464 Back Nile St #618,Acton Central,W3 6QJ,01891-702579,2002-03-08,abunselmeyer@hotmail.com,HE-student,1,19,41,N/A
925968467,Kip,Turziano,4 Northbrook St #600,Edmonton Green,N18 2NF,01850-347846,2000-10-19,kip.turziano@yahoo.com,HE-student,3,20,42,N/A
844858033,Melina,Orizabal,11 Tetlow St,Parsons Green and Walham,SW6 4QP,01420-307327,2007-01-19,melina@gmail.com,junior,5,14,43,Speech and Language Disability
385399409,Tina,Clapham,6301 Dorset Rd,Harefield,UB9 6LF,01567-296442,1981-06-08,tclapham@gmail.com,standard,5,39,44,N/A
206614889,Luisa,Devereux,22 Kilshaw St,Wimbledon Park,SW19 7DT,01607-269930,1958-09-03,ldevereux@gmail.com,standard,4,62,45,N/A
980407596,Pedro,Aschoff,62 Euston St,Bunhill,EC1Y 8RT,01386-981141,2001-06-27,paschoff@yahoo.com,HE-student,2,19,46,N/A
818337485,Carrol,Kunimitsu,67 Micawber St,Brockley,SE14 6RQ,01260-641258,1994-08-26,carrol_kunimitsu@yahoo.com,standard,3,26,47,N/A
